name,count,year,month
Mitsubishi l-MiEV,207,2013,7
Peugeot iOn,26,2013,7
Citroen C-Zero,15,2013,7
Tesla Model S,5,2013,7
Think City,4,2013,7
Mia andre,3,2013,7
Tesla Roadster,2,2013,7
Opel Ampera,31,2013,7
Fisker Karma,1,2013,7
Smart ForTwo,16,2013,7
Toyota Yaris,2487,2013,7
Toyota Prius,1141,2013,7
Lexus CT,170,2013,7
Mitsubishi Space Star,489,2013,7
Volkswagen upl,757,2013,7
Fiat 500,190,2013,7
Honda lnsight,7,2013,7
Skoda Citigo,369,2013,7
Toyota Auris,2333,2013,7
Toyota Aygo,200,2013,7
Peugeot 107,92,2013,7
Peugeot 208,1127,2013,7
Ford Fiesta,925,2013,7
Citroen C1,64,2013,7
Citroen DSS,252,2013,7
Kia Picanto,540,2013,7
Renault Clio,292,2013,7
Volvo V40,2122,2013,7
Citroen C3,217,2013,7
Renault Megane,131,2013,7
Volkswagen Jetta,59,2013,7
Suzuki Alto,47,2013,7
Toyota lQ,28,2013,7
Citroen C4,238,2013,7
Alfa Romeo Mito,31,2013,7
Fiat Punto,3,2013,7
Peugeot 2008,161,2013,7
LexuslS,40,2013,7
Kia Rio,380,2013,7
Renault Laguna,8,2013,7
MINI Mini,215,2013,7
Nissan Micra,60,2013,7
Hyundai i10,82,2013,7
Skoda Rapid,204,2013,7
Fiat Panda,102,2013,7
Volvo C30,4,2013,7
Peugeot 508,722,2013,7
Chevrolet Aveo,50,2013,7
Ford Ka,19,2013,7
Volkswagen Golf,4518,2013,7
Audi A3,1175,2013,7
BMW 1-serie,693,2013,7
Peugeot 308,108,2013,7
Ford Focus,2021,2013,7
AudiA1,443,2013,7
Citroen DS5,166,2013,7
Honda Jazz,136,2013,7
Skoda Fabia,385,2013,7
Toyota Verso-S,266,2013,7
Mazda2,169,2013,7
Opel Adarn,115,2013,7
Chevrolet Spark,91,2013,7
Volkswagen Polo,973,2013,7
Peugeot 3008,347,2013,7
Fiat 500L,123,2013,7
Subaru Trezia,64,2013,7
Saab 9-3,1,2013,7
Nissan Leaf,1420,2012,8
Mitsubishi l-MiEV,419,2012,8
Citroen C-Zero,282,2012,8
Peugeot iOn,232,2012,8
Tesla Roadster,24,2012,8
Think City,13,2012,8
Mia andre,8,2012,8
Fiat Fiorino,1,2012,8
ThinkThink,1,2012,8
OpelArnpera,19,2012,8
Toyota Prius,1106,2012,8
Lexus CT,301,2012,8
Skoda Citigo,53,2012,8
Volkswagen upl,366,2012,8
Peugeot 208,616,2012,8
Citroen C3,260,2012,8
Volvo V50,1326,2012,8
Smart ForTwo,37,2012,8
Hondalnsight,6,2012,8
Toyota Auris,1797,2012,8
ToyotaAygo,413,2012,8
Citroen C1,181,2012,8
Peugeot 107,215,2012,8
Kia Picanto,624,2012,8
ToyotalQ,94,2012,8
Volvo V40,54,2012,8
Fiat Punto,21,2012,8
Volvo S40,45,2012,8
Renault Clio,47,2012,8
SuzukiAlto,47,2012,8
Fiat 500,355,2012,8
Nissan Miora,161,2012,8
Peugeot 207,83,2012,8
Citroen D83,330,2012,8
Nissan Pixo,3,2012,8
Kia Rio,536,2012,8
Citroen C4,446,2012,8
ToyotaYaris,2481,2012,8
MINI Mini,252,2012,8
Peugeot 308,505,2012,8
Renault Megane,424,2012,8
Renault Laguna,19,2012,8
Volvo C30,68,2012,8
Ford Ka,63,2012,8
Volkswagen Polo,1433,2012,8
HondaJazz,263,2012,8
Ford Focus,2994,2012,8
Ford Fiesta,876,2012,8
AudiA1,743,2012,8
Skoda Fabia,708,2012,8
Hyundai i10,146,2012,8
MINI Clubman,43,2012,8
Toyota Verso-S,675,2012,8
Mazda2,407,2012,8
Volkswagen Jetta,71,2012,8
Honda andre,4,2012,8
AudiA3,975,2012,8
Opel Corsa,359,2012,8
Subaru Trezia,73,2012,8
Chevrolet Spark,8,2012,8
Subaru Justy,1,2012,8
Peugeot 508,1194,2012,8
Citroen DS4,156,2012,8
ChevroletAveo,1,2012,8
Nissan Leaf,2690,2013,8
Mitsubishi I-MiEV,223,2013,8
Tesla Model S,189,2013,8
